MeanConvergenceCoefficient,0.2,StdDevConvergenceCoefficient,0.1,MeanOpinionThreshold,2.5,StdDevOpinionThreshold,0.5
,.000,2.000,4.000,6.000,8.000,10.000,12.000,14.000,16.000,18.000,20.000,22.000,24.000,26.000,28.000,30.000,32.000,34.000,36.000,38.000,40.000,42.000,44.000,46.000,48.000,50.000,
0, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, 
1, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, 1.000, 1.000, 
2, .000, .000, .000, .000, 1.000, .000, .000, .000, .000, 1.000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, 1.000, .000, 1.000, 1.000, 1.000, 1.000, 
3, .000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, .000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, .000, 1.000, .000, 1.000, .000, .000, .000, .000, .000, 1.000, 1.000, 
4, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, 1.000, 
5, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, 1.000, 1.000, 1.000, 
6, .007, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, 
7, .000, .000, .000, .000, .000, .000, .007, .007, .007, .007, .007, .007, .007, .007, .007, .007, .007, .007, .007, .007, .007, .007, .007, .007, 1.000, 1.000, 
8, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, 1.000, 1.000, 1.000, 1.000, 1.000, 1.000, 
9, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, 
10, .007, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, 
11, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, .000, 1.000, 1.000, 1.000, 
